parent|child|mi|containment|jaccard|dotproduct|card1|card2|size1|size2
ckan_keywords_substance|ckan_keywords_environment|0.0202568283567|1.0|0.285714285714286|0.00308641975309|5|2|2064|2064
ckan_keywords_sulphur oxide|ckan_keywords_environment|0.0202568283567|1.0|0.285714285714286|0.00308641975309|5|2|2064|2064
ckan_keywords_surveillance|ckan_keywords_environment|0.0484970181296|1.0|0.714285714285714|0.0366469528988|5|4|2064|2064
ckan_keywords_transboundary|ckan_keywords_environment|0.0484970181296|1.0|0.714285714285714|0.0366469528988|5|4|2064|2064
ckan_keywords_environment|ckan_subject_nature_and_environment|0.0473673221129|1.0|0.0972222222222222|0.0397333726519|5|19|2064|2064
ckan_keywords_air and climate|ckan_keywords_environmental indicators|0.0566455660302|1.0|0.30952380952381|0.0785542179|12|6|2064|2064
ckan_keywords_environmental indicators|ckan_subject_nature_and_environment|0.172652027108|1.0|0.291666666666667|0.195612406569|12|19|2064|2064
ckan_keywords_environmental performance|ckan_keywords_emissions|0.0202568283567|1.0|0.222222222222222|0.00308641975309|2|6|2064|2064
ckan_keywords_environmental radioactivity monitoring|ckan_subject_health_and_safety|0.00603370772761|1.0|0.00862068965517241|0.00591715976331|2|5|2064|2064
ckan_keywords_epidemic|ckan_subject_health_and_safety|0.00603370772761|1.0|0.00862068965517241|0.0004|2|5|2064|2064
ckan_keywords_eskimo curlew; range; downloadable data|ckan_keywords_territories - nunavut (nu)|0.00603370772761|1.0|0.5|0.0123456790123|2|3|2064|2064
ckan_keywords_explosion|ckan_subject_health_and_safety|0.00603370772761|1.0|0.00862068965517241|0.0004|2|5|2064|2064
ckan_keywords_federal budget|ckan_subject_government_and_politics|0.103599146689|1.0|0.0731070496083551|0.28|2|10|2064|2064
ckan_keywords_fine particulate matter|ckan_keywords_province|0.0110980843898|1.0|0.00803212851405622|0.00554016620499|2|4|2064|2064
ckan_keywords_budgets|ckan_keywords_fiscal policy|0.103599146689|1.0|1.0|0.28|2|2|2064|2064
